indicatorcode,spatialdimtype,spatialdim,timedimtype,parentlocationcode,parentlocation,dim1type,timedim,dim1,dim2type,dim2,dim3type,dim3,datasourcedimtype,datasourcedim,value,numericvalue,low,high,comments,date,timedimensionvalue,timedimensionbegin,timedimensionend,who_id,country,year,indicator,snapshot_date,country_code,product_name,model_number,currency,price_local,sale_price_local,gender_segment,size_label,category,subcategory,product_id,sku,base_model_number,brand_name,color_name,size_count,size_labels,available_size_count,availability,availability_units,availability_status,in_stock,discount_pct,rating,rating_count,badge_texts,product_url,canonical_url,image_url,best_for_ids,seen_market_count,seen_markets,market_record_source,size_record_source
EMFLIMITELECTRICLF,COUNTRY,ISR,YEAR,EUR,Europe,EMFEXPOSED,2017,EMFEXPOSED_EMFPUBLIC,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,,2017-05-31T12:57:28+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,4280391,ISR,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,USA,YEAR,AMR,Americas,EMFEXPOSED,2017,EMFEXPOSED_EMFWORKER,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,25 kV/m (ACGIH); 1 kV/m for workers with pacemakers or medical electronic devices,2017-05-04T08:04:53+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,6037811,USA,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,NOR,YEAR,EUR,Europe,EMFEXPOSED,2017,EMFEXPOSED_EMFWORKER,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,"10 kV/m for low action levels, 20 kV/m for high action levels (DIRECTIVE 2013/35/EU)",2017-05-04T08:04:53+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,603995,NOR,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,SVN,YEAR,EUR,Europe,EMFEXPOSED,2018,EMFEXPOSED_EMFWORKER,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,,2018-06-11T12:58:34+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00,1655082,SVN,2018,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,AUT,YEAR,EUR,Europe,EMFEXPOSED,2017,EMFEXPOSED_EMFWORKER,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,"10 kV/m for low action levels, 20 kV/m for high action levels (DIRECTIVE 2013/35/EU)",2017-05-04T08:04:52+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,5153395,AUT,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,RUS,YEAR,EUR,Europe,EMFEXPOSED,2017,EMFEXPOSED_EMFPUBLIC,EMFFREQUENCY,EMFFREQUENCY_EMFSTATIC,,,,,,,,,,2017-05-31T12:54:21+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,3894268,RUS,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,KOR,YEAR,WPR,Western Pacific,EMFEXPOSED,2017,EMFEXPOSED_EMFWORKER,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,,2017-05-04T08:04:53+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,4674383,KOR,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,BRA,YEAR,AMR,Americas,EMFEXPOSED,2017,EMFEXPOSED_EMFWORKER,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,,2017-05-04T08:04:52+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,10165313,BRA,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,BHR,YEAR,EMR,Eastern Mediterranean,EMFEXPOSED,2017,EMFEXPOSED_EMFPUBLIC,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,,2017-05-31T12:57:27+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,6930879,BHR,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,BRA,YEAR,AMR,Americas,EMFEXPOSED,2017,EMFEXPOSED_EMFPUBLIC,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,,2017-05-31T12:57:27+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,5368925,BRA,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,KOR,YEAR,WPR,Western Pacific,EMFEXPOSED,2017,EMFEXPOSED_EMFPUBLIC,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,,2017-05-31T12:57:29+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,4224663,KOR,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,NZL,YEAR,WPR,Western Pacific,EMFEXPOSED,2017,EMFEXPOSED_EMFWORKER,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,,2017-05-04T08:04:53+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,875840,NZL,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,BEL,YEAR,EUR,Europe,EMFEXPOSED,2017,EMFEXPOSED_EMFPUBLIC,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,"Brussels: 5 kV/m // Flanders and Walonia: limits for high-voltages lines: 5 kV/m in inhabited areas, 7 kV/m above roads, 10 kV/m elsewhere",2017-05-31T12:57:27+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,4123009,BEL,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,PHL,YEAR,WPR,Western Pacific,EMFEXPOSED,2017,EMFEXPOSED_EMFPUBLIC,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,,2017-05-31T12:57:29+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,8334158,PHL,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,PHL,YEAR,WPR,Western Pacific,EMFEXPOSED,2017,EMFEXPOSED_EMFWORKER,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,,2017-05-04T08:04:53+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,8768188,PHL,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,ITA,YEAR,EUR,Europe,EMFEXPOSED,2017,EMFEXPOSED_EMFPUBLIC,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,,2017-05-31T12:57:28+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,4662791,ITA,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,FIN,YEAR,EUR,Europe,EMFEXPOSED,2017,EMFEXPOSED_EMFWORKER,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,"10 kV/m for low action levels, 20 kV/m for high action levels (DIRECTIVE 2013/35/EU)",2017-05-04T08:04:53+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,1079242,FIN,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
